player,game,round,current_score,round_score,placement,round_wins,game_wins,last_trick
Random3,8,2,12,4,1,3,2,False
Random4,8,2,11,4,3,3,3,False
DQN,8,3,-15,-9,3,28,0,False
Random2,8,3,22,7,1,3,3,False
Random3,8,3,26,14,0,3,2,False
Random4,8,3,15,14,2,3,3,False
DQN,8,4,-15,0,2,28,0,False
Random2,8,4,21,-1,3,3,3,False
Random3,8,4,39,13,0,3,2,False
Random4,8,4,19,13,1,3,3,False
DQN,8,5,-11,4,1,28,0,False
Random2,8,5,22,1,2,3,3,False
Random3,8,5,60,21,0,3,2,False
Random4,8,5,9,21,3,3,3,False
DQN,8,6,-6,5,1,28,0,False
Random2,8,6,13,-9,3,3,3,False
Random3,8,6,76,16,0,3,2,False
Random4,8,6,13,16,2,3,3,False
DQN,8,7,-2,4,1,28,0,False
Random2,8,7,8,-5,3,3,3,False
Random3,8,7,89,13,0,3,2,False
Random4,8,7,17,13,1,3,3,False
DQN,8,8,-9,-7,3,29,0,False
Random2,8,8,26,18,0,3,3,False
Random3,8,8,93,4,1,3,2,False
Random4,8,8,18,4,2,3,3,False
DQN,8,9,5,14,0,29,0,False
Random2,8,9,28,2,1,3,3,False
Random3,8,9,93,0,2,3,2,False
Random4,8,9,18,0,2,3,3,False
DQN,8,10,6,1,1,29,0,False
Random2,8,10,44,16,0,3,3,False
Random3,8,10,92,-1,3,3,2,False
Random4,8,10,18,-1,2,3,3,False
DQN,8,10,6,0,3,30,0,True
Random2,8,10,45,1,2,3,3,True
Random3,8,10,101,9,0,3,1,True
Random4,8,10,24,9,1,3,3,True
DQN,9,1,0,0,2,30,1,False
Random2,9,1,-9,-9,3,3,3,False
Random3,9,1,4,4,1,3,2,False
Random4,9,1,21,4,0,3,3,False
DQN,9,2,0,0,2,31,1,False
Random2,9,2,-6,3,1,3,3,False
Random3,9,2,4,0,2,3,2,False
Random4,9,2,34,0,0,3,3,False
DQN,9,3,18,18,0,31,1,False
Random2,9,3,-16,-10,3,3,3,False
Random3,9,3,4,0,2,3,2,False
Random4,9,3,42,0,1,3,3,False
DQN,9,4,8,-10,3,32,1,False
Random2,9,4,3,19,0,3,3,False
Random3,9,4,4,0,2,3,2,False
Random4,9,4,49,0,1,3,3,False
DQN,9,5,-2,-10,3,33,1,False
Random2,9,5,8,5,1,3,3,False
Random3,9,5,22,18,0,3,2,False
Random4,9,5,52,18,2,3,3,False
DQN,9,6,5,7,1,33,1,False
Random2,9,6,3,-5,3,3,3,False
Random3,9,6,36,14,0,3,2,False
Random4,9,6,52,14,2,3,3,False
DQN,9,7,0,-5,3,34,1,False
Random2,9,7,16,13,0,3,3,False
Random3,9,7,36,0,2,3,2,False
Random4,9,7,60,0,1,3,3,False
DQN,9,8,0,0,2,35,1,False
Random2,9,8,16,0,2,3,3,False
Random3,9,8,41,5,1,3,2,False
Random4,9,8,71,5,0,3,3,False
DQN,9,9,0,0,2,36,1,False
Random2,9,9,16,0,2,3,3,False
Random3,9,9,42,1,1,3,2,False
Random4,9,9,86,1,0,3,3,False
DQN,9,10,26,0,4,36,1,False
Random2,9,10,42,0,4,3,3,False
Random3,9,10,68,0,4,3,2,False
Random4,9,10,76,0,3,3,3,False
DQN,9,11,26,0,2,36,1,False
Random2,9,11,32,-10,3,3,3,False
Random3,9,11,86,18,0,3,2,False
Random4,9,11,84,18,1,3,3,False
DQN,9,12,26,0,3,37,1,False
Random2,9,12,36,4,1,3,3,False
Random3,9,12,96,10,0,3,2,False
Random4,9,12,86,10,2,3,3,False
DQN,9,13,32,6,0,37,1,False
Random2,9,13,42,6,0,3,3,False
Random3,9,13,99,3,2,3,2,False
Random4,9,13,87,3,3,3,3,False
DQN,9,13,46,14,0,37,1,True
Random2,9,13,45,3,2,3,3,True
Random3,9,13,104,5,1,3,4,True
Random4,9,13,81,5,3,3,3,True
DQN,10,1,22,22,0,37,1,False
Random2,10,1,4,4,1,3,4,False
Random3,10,1,0,0,2,3,2,False
Random4,10,1,-10,0,3,3,3,False
DQN,10,2,26,4,1,37,1,False
Random2,10,2,8,4,1,3,4,False
Random3,10,2,8,8,0,3,2,False
Random4,10,2,-10,8,3,3,3,False
DQN,10,3,26,0,2,37,1,False
Random2,10,3,4,-4,3,3,4,False
Random3,10,3,21,13,0,3,2,False
Random4,10,3,-3,13,1,3,3,False
DQN,10,4,23,-3,3,38,1,False
Random2,10,4,10,6,1,3,4,False
Random3,10,4,34,13,0,3,2,False
Random4,10,4,-3,13,2,3,3,False
DQN,10,5,36,13,0,38,1,False
Random2,10,5,8,-2,3,3,4,False
Random3,10,5,35,1,2,3,2,False
Random4,10,5,1,1,1,3,3,False
DQN,10,6,26,-10,3,39,1,False
Random2,10,6,8,0,2,3,4,False
Random3,10,6,46,11,1,3,2,False
Random4,10,6,16,11,0,3,3,False
DQN,10,7,29,3,1,39,1,False
Random2,10,7,8,0,2,3,4,False
Random3,10,7,36,-10,3,3,2,False
Random4,10,7,39,-10,0,3,3,False
DQN,10,8,38,9,0,39,1,False
Random2,10,8,8,0,2,3,4,False
Random3,10,8,36,0,2,3,2,False
Random4,10,8,46,0,1,3,3,False
DQN,10,9,46,8,0,39,1,False
Random2,10,9,8,0,3,3,4,False
Random3,10,9,40,4,1,3,2,False
Random4,10,9,50,4,1,3,3,False
DQN,10,10,48,2,2,40,1,False
Random2,10,10,10,2,2,3,4,False
Random3,10,10,49,9,0,3,2,False
Random4,10,10,53,9,1,3,3,False
DQN,10,11,42,-6,3,41,1,False
Random2,10,11,16,6,1,3,4,False
Random3,10,11,49,0,2,3,2,False
Random4,10,11,69,0,0,3,3,False
DQN,10,12,42,0,2,41,1,False
